Well Row,Well Col,Content,raw_nolid,blank_nolid,raw,blank,2foldseries,10foldseries,actualfold,volume,correctedOD,count,dilution,NT
A,1,blank,0.026,NA,0.069,NA,NA,NA,NA,180,NA,NA,NA,NA
A,2,sample,1.248,1.218,1.313,1.24023076923077,1,1,1,180,1.37803418803419,405,-6,810000000
A,3,sample,0.79,0.76,0.839,0.766230769230769,0.5,1,0.5,180,0.851367521367521,207,-6,414000000
A,4,sample,0.429,0.399,0.476,0.403230769230769,0.25,1,0.25,180,0.448034188034188,146,-6,292000000
A,5,sample,0.243,0.213,0.282,0.209230769230769,0.125,1,0.125,180,0.232478632478632,76,-6,152000000
A,6,sample,0.135,0.105,0.177,0.104230769230769,0.0625,1,0.0625,180,0.115811965811966,40,-6,80000000
A,7,sample,0.085,0.055,0.127,0.054230769230769,0.03125,1,0.03125,180,0.06025641025641,168,-5,33600000
A,8,sample,0.057,0.027,0.099,0.026230769230769,0.015625,1,0.015625,180,0.029145299145299,87,-5,17400000
A,9,sample,0.044,0.014,0.085,0.012230769230769,0.0078125,1,0.0078125,180,0.013589743589744,41,-5,8200000
A,10,sample,0.034,0.003,0.076,0.003230769230769,0.00390625,1,0.00390625,180,0.003589743589744,35,-5,NA
A,11,sample,0.032,0.002,0.076,0.003230769230769,0.001953125,1,0.001953125,180,0.003589743589744,80,-4,1600000
A,12,blank,0.027,NA,0.069,NA,NA,NA,NA,180,NA,NA,NA,NA
B,1,blank,0.032,NA,0.074,NA,NA,NA,NA,180,NA,NA,NA,NA
B,2,sample,0.234,0.204,0.281,0.208230769230769,1,0.1,0.1,200,0.208230769230769,405,-6,81000000
B,3,sample,0.136,0.105,0.177,0.104230769230769,0.5,0.1,0.05,200,0.104230769230769,207,-6,41400000
B,4,sample,0.084,0.054,0.127,0.054230769230769,0.25,0.1,0.025,200,0.054230769230769,146,-6,29200000
B,5,sample,0.057,0.027,0.103,0.030230769230769,0.125,0.1,0.0125,200,0.030230769230769,76,-6,15200000
B,6,sample,0.043,0.012,0.086,0.013230769230769,0.0625,0.1,0.00625,200,0.013230769230769,40,-6,8000000
B,7,sample,0.036,0.006,0.079,0.006230769230769,0.03125,0.1,0.003125,200,0.006230769230769,168,-5,3360000
B,8,sample,0.031,0.000730769,0.072,-0.000769230769231,0.015625,0.1,0.0015625,200,-0.000769230769231,87,-5,1740000
B,9,sample,0.029,-0.001,0.072,-0.000769230769231,0.0078125,0.1,0.00078125,200,-0.000769230769231,41,-5,820000
B,10,sample,0.028,-0.002,0.071,-0.001769230769231,0.00390625,0.1,0.000390625,200,-0.001769230769231,35,-5,NA
B,11,sample,0.026,-0.004,0.067,-0.005769230769231,0.001953125,0.1,0.0001953125,200,-0.005769230769231,80,-4,160000
B,12,blank,0.026,NA,0.065,NA,NA,NA,NA,180,NA,NA,NA,NA
C,1,blank,0.029,NA,0.069,NA,NA,NA,NA,180,NA,NA,NA,NA
C,2,sample,0.231,0.201,0.272,0.199230769230769,1,0.01,0.01,180,0.221367521367521,405,-6,81000000
C,3,sample,0.133,0.102,0.176,0.103230769230769,0.5,0.01,0.005,180,0.114700854700855,207,-6,41400000
C,4,sample,0.085,0.055,0.127,0.054230769230769,0.25,0.01,0.0025,180,0.06025641025641,146,-6,29200000
C,5,sample,0.057,0.027,0.099,0.026230769230769,0.125,0.01,0.00125,180,0.029145299145299,76,-6,15200000
C,6,sample,0.04,0.01,0.084,0.011230769230769,0.0625,0.01,0.000625,180,0.012478632478633,40,-6,8000000
C,7,sample,0.034,0.004,0.076,0.003230769230769,0.03125,0.01,0.0003125,180,0.003589743589744,168,-5,3360000
C,8,sample,0.031,0.000830769,0.073,0.000230769230769,0.015625,0.01,0.00015625,180,0.00025641025641,87,-5,1740000
C,9,sample,0.032,0.002,0.073,0.000230769230769,0.0078125,0.01,0.000078125,180,0.00025641025641,41,-5,820000
C,10,sample,0.029,-0.001,0.07,-0.002769230769231,0.00390625,0.01,0.0000390625,180,-0.003076923076923,35,-5,NA
C,11,sample,0.03,-0.000269231,0.072,-0.000769230769231,0.001953125,0.01,0.00001953125,180,-0.000854700854701,80,-4,160000
C,12,blank,0.026,NA,0.066,NA,NA,NA,NA,180,NA,NA,NA,NA
